,Outils FR,,Code,Code icône,,Tools EN,,Code,,Herramientas ES,,Codigo,,Werkzeuge DE,,Code,,Attrezzi IT,,Codice
,Etau,,T70,IT70,,Vice,,,,Torno,,,,Schraubstock,,,,Morsa,,
,Taraud,,T71,IT71,,Screw tap,,,,Macho de roscar,,,,Gewindeschneider,,,,Maschio,,
,Tube de force,,T72,IT72,,Pressure tube,,,,Tubo de fuerza,,,,Druckschlauch,,,,Tubo di pressione,,
,Seringue,,T73,IT73,,Syringe ,,,,Jeringa,,,,Spritze,,,,Siringa,,
,Chasse-goupille,,T74,IT74,,Pin punch,,,,Punzón,,,,Splinttreiber,,,,Cacciatoia,,
,Jonc,,T75,IT75,,Snap ring/ Lock ring,,,,Anillo de retención,,,,Binse,,,,Seeger,,
,Peigne à filet,,T76,IT76,,Thread chaser,,,,Peine de filetear,,,,Gewindestrehler,,,,Filiera,,
,Multimètre,,T77,IT77,,Multimeter,,,,Multímetro,,,,Multimeter,,,,Multimetro,,
,Bobines,,T78,IT78,,Coils,,,,Bobinas,,,,Spulen,,,,Bobine,,
,Aspirateur,,T79,IT79,,Vacuum cleaner,,,,Aspiradora,,,,Staubsauger,,,,Aspiratore,,
,Aspirateur (facultatif),,T80,IT79,,Vacuum cleaner (optional),,,,Aspiradora (opcional),,,,Staubsauger (optional),,,,Aspiratore (facoltativo),,
,Ecouvillon,,T81,IT81,,Bottlebrush,,,,Cepillo para botellas,,,,Flaschenbürste,,,,Tampone,,
,Poire d'amorçage,,T82,IT82,,Primer pump,,,,Bomba de cebado,,,,Kraftstoffbirne,,,,Pompa di innesco,,
,Nettoyant four,,T83,IT83,,Oven cleaner,,,,Limpiahornos,,,,Backofenreiniger,,,,Detergente forno,,
,Nettoyant vanne EGR,,T84,IT84,,EGR valve cleaner,,,,Limpiador de válvula EGR,,,,Reinigungsmittel für AGR-Ventil,,,,Detergente valvola EGR,,
,Bidon vide (au moins 5 litres),,T85,IT85,,Empty can (at least 5 liters),,,,Lata vacía (al menos 5 litros),,,,Leerer Eimer (mindestens 5 Liter),,,,Bidone vuoto (almeno 5 litri),,
,Cutter,,T86,IT86,,Cutter knife,,,,Cúter,,,,Cutter,,,,Taglierina,,
,Dégrippant,,T87,IT87,,Penetrating oil,,,,Antigripante,,,,Kriechöl,,,,Olio sbloccante,,
